"Notes"	"County"	"County Code"	"Ethnicity"	"Ethnicity Code"	Population
"Total"	"Clay County, NC"	"37043"			11231
	"Cleveland County, NC"	"37045"	"Hispanic or Latino"	"2135-2"	3690
	"Cleveland County, NC"	"37045"	"Not Hispanic or Latino"	"2186-5"	94257
"Total"	"Cleveland County, NC"	"37045"			97947
	"Columbus County, NC"	"37047"	"Hispanic or Latino"	"2135-2"	3094
	"Columbus County, NC"	"37047"	"Not Hispanic or Latino"	"2186-5"	52414
"Total"	"Columbus County, NC"	"37047"			55508
	"Craven County, NC"	"37049"	"Hispanic or Latino"	"2135-2"	7770
	"Craven County, NC"	"37049"	"Not Hispanic or Latino"	"2186-5"	94369
"Total"	"Craven County, NC"	"37049"			102139
	"Cumberland County, NC"	"37051"	"Hispanic or Latino"	"2135-2"	40572
	"Cumberland County, NC"	"37051"	"Not Hispanic or Latino"	"2186-5"	294937
"Total"	"Cumberland County, NC"	"37051"			335509
	"Currituck County, NC"	"37053"	"Hispanic or Latino"	"2135-2"	1212
	"Currituck County, NC"	"37053"	"Not Hispanic or Latino"	"2186-5"	26551
"Total"	"Currituck County, NC"	"37053"			27763
	"Dare County, NC"	"37055"	"Hispanic or Latino"	"2135-2"	2861
	"Dare County, NC"	"37055"	"Not Hispanic or Latino"	"2186-5"	34148
"Total"	"Dare County, NC"	"37055"			37009
	"Davidson County, NC"	"37057"	"Hispanic or Latino"	"2135-2"	12450
	"Davidson County, NC"	"37057"	"Not Hispanic or Latino"	"2186-5"	155159
"Total"	"Davidson County, NC"	"37057"			167609
	"Davie County, NC"	"37059"	"Hispanic or Latino"	"2135-2"	3107
	"Davie County, NC"	"37059"	"Not Hispanic or Latino"	"2186-5"	39739
"Total"	"Davie County, NC"	"37059"			42846
	"Duplin County, NC"	"37061"	"Hispanic or Latino"	"2135-2"	13517
	"Duplin County, NC"	"37061"	"Not Hispanic or Latino"	"2186-5"	45224
"Total"	"Duplin County, NC"	"37061"			58741
	"Durham County, NC"	"37063"	"Hispanic or Latino"	"2135-2"	43928
	"Durham County, NC"	"37063"	"Not Hispanic or Latino"	"2186-5"	277560
"Total"	"Durham County, NC"	"37063"			321488
	"Edgecombe County, NC"	"37065"	"Hispanic or Latino"	"2135-2"	2553
	"Edgecombe County, NC"	"37065"	"Not Hispanic or Latino"	"2186-5"	48919
"Total"	"Edgecombe County, NC"	"37065"			51472
	"Forsyth County, NC"	"37067"	"Hispanic or Latino"	"2135-2"	50828
	"Forsyth County, NC"	"37067"	"Not Hispanic or Latino"	"2186-5"	331467
"Total"	"Forsyth County, NC"	"37067"			382295
	"Franklin County, NC"	"37069"	"Hispanic or Latino"	"2135-2"	6253
	"Franklin County, NC"	"37069"	"Not Hispanic or Latino"	"2186-5"	63432
"Total"	"Franklin County, NC"	"37069"			69685
	"Gaston County, NC"	"37071"	"Hispanic or Latino"	"2135-2"	17014
	"Gaston County, NC"	"37071"	"Not Hispanic or Latino"	"2186-5"	207515
"Total"	"Gaston County, NC"	"37071"			224529
	"Gates County, NC"	"37073"	"Hispanic or Latino"	"2135-2"	276
	"Gates County, NC"	"37073"	"Not Hispanic or Latino"	"2186-5"	11286
"Total"	"Gates County, NC"	"37073"			11562
	"Graham County, NC"	"37075"	"Hispanic or Latino"	"2135-2"	316
	"Graham County, NC"	"37075"	"Not Hispanic or Latino"	"2186-5"	8125
"Total"	"Graham County, NC"	"37075"			8441
	"Granville County, NC"	"37077"	"Hispanic or Latino"	"2135-2"	5147
	"Granville County, NC"	"37077"	"Not Hispanic or Latino"	"2186-5"	55296
"Total"	"Granville County, NC"	"37077"			60443
	"Greene County, NC"	"37079"	"Hispanic or Latino"	"2135-2"	3308
	"Greene County, NC"	"37079"	"Not Hispanic or Latino"	"2186-5"	17761
"Total"	"Greene County, NC"	"37079"			21069
	"Guilford County, NC"	"37081"	"Hispanic or Latino"	"2135-2"	45191
	"Guilford County, NC"	"37081"	"Not Hispanic or Latino"	"2186-5"	491983
"Total"	"Guilford County, NC"	"37081"			537174
	"Halifax County, NC"	"37083"	"Hispanic or Latino"	"2135-2"	1558
	"Halifax County, NC"	"37083"	"Not Hispanic or Latino"	"2186-5"	48452
"Total"	"Halifax County, NC"	"37083"			50010
	"Harnett County, NC"	"37085"	"Hispanic or Latino"	"2135-2"	18178
	"Harnett County, NC"	"37085"	"Not Hispanic or Latino"	"2186-5"	117798
"Total"	"Harnett County, NC"	"37085"			135976
	"Haywood County, NC"	"37087"	"Hispanic or Latino"	"2135-2"	2672
	"Haywood County, NC"	"37087"	"Not Hispanic or Latino"	"2186-5"	59645
"Total"	"Haywood County, NC"	"37087"			62317
	"Henderson County, NC"	"37089"	"Hispanic or Latino"	"2135-2"	12137
	"Henderson County, NC"	"37089"	"Not Hispanic or Latino"	"2186-5"	105280
"Total"	"Henderson County, NC"	"37089"			117417
	"Hertford County, NC"	"37091"	"Hispanic or Latino"	"2135-2"	982
	"Hertford County, NC"	"37091"	"Not Hispanic or Latino"	"2186-5"	22695
"Total"	"Hertford County, NC"	"37091"			23677
	"Hoke County, NC"	"37093"	"Hispanic or Latino"	"2135-2"	7695
	"Hoke County, NC"	"37093"	"Not Hispanic or Latino"	"2186-5"	47539
"Total"	"Hoke County, NC"	"37093"			55234
	"Hyde County, NC"	"37095"	"Hispanic or Latino"	"2135-2"	485
	"Hyde County, NC"	"37095"	"Not Hispanic or Latino"	"2186-5"	4452
"Total"	"Hyde County, NC"	"37095"			4937
	"Iredell County, NC"	"37097"	"Hispanic or Latino"	"2135-2"	14603
	"Iredell County, NC"	"37097"	"Not Hispanic or Latino"	"2186-5"	167203
"Total"	"Iredell County, NC"	"37097"			181806
	"Jackson County, NC"	"37099"	"Hispanic or Latino"	"2135-2"	2746
	"Jackson County, NC"	"37099"	"Not Hispanic or Latino"	"2186-5"	41192
"Total"	"Jackson County, NC"	"37099"			43938
	"Johnston County, NC"	"37101"	"Hispanic or Latino"	"2135-2"	29475
	"Johnston County, NC"	"37101"	"Not Hispanic or Latino"	"2186-5"	179864
"Total"	"Johnston County, NC"	"37101"			209339
	"Jones County, NC"	"37103"	"Hispanic or Latino"	"2135-2"	484
	"Jones County, NC"	"37103"	"Not Hispanic or Latino"	"2186-5"	8935
"Total"	"Jones County, NC"	"37103"			9419
	"Lee County, NC"	"37105"	"Hispanic or Latino"	"2135-2"	12105
	"Lee County, NC"	"37105"	"Not Hispanic or Latino"	"2186-5"	49674
"Total"	"Lee County, NC"	"37105"			61779
	"Lenoir County, NC"	"37107"	"Hispanic or Latino"	"2135-2"	4422
	"Lenoir County, NC"	"37107"	"Not Hispanic or Latino"	"2186-5"	51527
"Total"	"Lenoir County, NC"	"37107"			55949
	"Lincoln County, NC"	"37109"	"Hispanic or Latino"	"2135-2"	6480
	"Lincoln County, NC"	"37109"	"Not Hispanic or Latino"	"2186-5"	79631
"Total"	"Lincoln County, NC"	"37109"			86111
	"McDowell County, NC"	"37111"	"Hispanic or Latino"	"2135-2"	2920
	"McDowell County, NC"	"37111"	"Not Hispanic or Latino"	"2186-5"	42836
"Total"	"McDowell County, NC"	"37111"			45756
	"Macon County, NC"	"37113"	"Hispanic or Latino"	"2135-2"	2641
	"Macon County, NC"	"37113"	"Not Hispanic or Latino"	"2186-5"	33217
"Total"	"Macon County, NC"	"37113"			35858
	"Madison County, NC"	"37115"	"Hispanic or Latino"	"2135-2"	532
	"Madison County, NC"	"37115"	"Not Hispanic or Latino"	"2186-5"	21223
"Total"	"Madison County, NC"	"37115"			21755
	"Martin County, NC"	"37117"	"Hispanic or Latino"	"2135-2"	916
	"Martin County, NC"	"37117"	"Not Hispanic or Latino"	"2186-5"	21524
"Total"	"Martin County, NC"	"37117"			22440
	"Mecklenburg County, NC"	"37119"	"Hispanic or Latino"	"2135-2"	152925
	"Mecklenburg County, NC"	"37119"	"Not Hispanic or Latino"	"2186-5"	957431
"Total"	"Mecklenburg County, NC"	"37119"			1110356
	"Mitchell County, NC"	"37121"	"Hispanic or Latino"	"2135-2"	923
	"Mitchell County, NC"	"37121"	"Not Hispanic or Latino"	"2186-5"	14041
"Total"	"Mitchell County, NC"	"37121"			14964
	"Montgomery County, NC"	"37123"	"Hispanic or Latino"	"2135-2"	4231
	"Montgomery County, NC"	"37123"	"Not Hispanic or Latino"	"2186-5"	22942
"Total"	"Montgomery County, NC"	"37123"			27173
	"Moore County, NC"	"37125"	"Hispanic or Latino"	"2135-2"	7156
	"Moore County, NC"	"37125"	"Not Hispanic or Latino"	"2186-5"	93724
"Total"	"Moore County, NC"	"37125"			100880
	"Nash County, NC"	"37127"	"Hispanic or Latino"	"2135-2"	6940
	"Nash County, NC"	"37127"	"Not Hispanic or Latino"	"2186-5"	87358
"Total"	"Nash County, NC"	"37127"			94298
	"New Hanover County, NC"	"37129"	"Hispanic or Latino"	"2135-2"	13610
	"New Hanover County, NC"	"37129"	"Not Hispanic or Latino"	"2186-5"	220863
"Total"	"New Hanover County, NC"	"37129"			234473
	"Northampton County, NC"	"37131"	"Hispanic or Latino"	"2135-2"	513
	"Northampton County, NC"	"37131"	"Not Hispanic or Latino"	"2186-5"	18970
"Total"	"Northampton County, NC"	"37131"			19483
	"Onslow County, NC"	"37133"	"Hispanic or Latino"	"2135-2"	25521
	"Onslow County, NC"	"37133"	"Not Hispanic or Latino"	"2186-5"	172417
"Total"	"Onslow County, NC"	"37133"			197938
	"Orange County, NC"	"37135"	"Hispanic or Latino"	"2135-2"	12816
	"Orange County, NC"	"37135"	"Not Hispanic or Latino"	"2186-5"	135660
"Total"	"Orange County, NC"	"37135"			148476
	"Pamlico County, NC"	"37137"	"Hispanic or Latino"	"2135-2"	542
	"Pamlico County, NC"	"37137"	"Not Hispanic or Latino"	"2186-5"	12184
"Total"	"Pamlico County, NC"	"37137"			12726
	"Pasquotank County, NC"	"37139"	"Hispanic or Latino"	"2135-2"	2300
	"Pasquotank County, NC"	"37139"	"Not Hispanic or Latino"	"2186-5"	37524
"Total"	"Pasquotank County, NC"	"37139"			39824
	"Pender County, NC"	"37141"	"Hispanic or Latino"	"2135-2"	4742
	"Pender County, NC"	"37141"	"Not Hispanic or Latino"	"2186-5"	58318
"Total"	"Pender County, NC"	"37141"			63060
	"Perquimans County, NC"	"37143"	"Hispanic or Latino"	"2135-2"	370
	"Perquimans County, NC"	"37143"	"Not Hispanic or Latino"	"2186-5"	13093
"Total"	"Perquimans County, NC"	"37143"			13463
	"Person County, NC"	"37145"	"Hispanic or Latino"	"2135-2"	1785
	"Person County, NC"	"37145"	"Not Hispanic or Latino"	"2186-5"	37705
"Total"	"Person County, NC"	"37145"			39490
	"Pitt County, NC"	"37147"	"Hispanic or Latino"	"2135-2"	11730
	"Pitt County, NC"	"37147"	"Not Hispanic or Latino"	"2186-5"	169012
"Total"	"Pitt County, NC"	"37147"			180742
	"Polk County, NC"	"37149"	"Hispanic or Latino"	"2135-2"	1223
	"Polk County, NC"	"37149"	"Not Hispanic or Latino"	"2186-5"	19501
"Total"	"Polk County, NC"	"37149"			20724
	"Randolph County, NC"	"37151"	"Hispanic or Latino"	"2135-2"	17224
	"Randolph County, NC"	"37151"	"Not Hispanic or Latino"	"2186-5"	126443
"Total"	"Randolph County, NC"	"37151"			143667
	"Richmond County, NC"	"37153"	"Hispanic or Latino"	"2135-2"	3052
	"Richmond County, NC"	"37153"	"Not Hispanic or Latino"	"2186-5"	41777
"Total"	"Richmond County, NC"	"37153"			44829
	"Robeson County, NC"	"37155"	"Hispanic or Latino"	"2135-2"	12048
	"Robeson County, NC"	"37155"	"Not Hispanic or Latino"	"2186-5"	118577
"Total"	"Robeson County, NC"	"37155"			130625
	"Rockingham County, NC"	"37157"	"Hispanic or Latino"	"2135-2"	5760
	"Rockingham County, NC"	"37157"	"Not Hispanic or Latino"	"2186-5"	85250
"Total"	"Rockingham County, NC"	"37157"			91010
	"Rowan County, NC"	"37159"	"Hispanic or Latino"	"2135-2"	13400
	"Rowan County, NC"	"37159"	"Not Hispanic or Latino"	"2186-5"	128688
"Total"	"Rowan County, NC"	"37159"			142088
	"Rutherford County, NC"	"37161"	"Hispanic or Latino"	"2135-2"	3225
	"Rutherford County, NC"	"37161"	"Not Hispanic or Latino"	"2186-5"	63804
"Total"	"Rutherford County, NC"	"37161"			67029
	"Sampson County, NC"	"37163"	"Hispanic or Latino"	"2135-2"	13057
	"Sampson County, NC"	"37163"	"Not Hispanic or Latino"	"2186-5"	50474
"Total"	"Sampson County, NC"	"37163"			63531
	"Scotland County, NC"	"37165"	"Hispanic or Latino"	"2135-2"	1150
	"Scotland County, NC"	"37165"	"Not Hispanic or Latino"	"2186-5"	33673
"Total"	"Scotland County, NC"	"37165"			34823
	"Stanly County, NC"	"37167"	"Hispanic or Latino"	"2135-2"	2786
	"Stanly County, NC"	"37167"	"Not Hispanic or Latino"	"2186-5"	60020
"Total"	"Stanly County, NC"	"37167"			62806
	"Stokes County, NC"	"37169"	"Hispanic or Latino"	"2135-2"	1507
	"Stokes County, NC"	"37169"	"Not Hispanic or Latino"	"2186-5"	44084
"Total"	"Stokes County, NC"	"37169"			45591
	"Surry County, NC"	"37171"	"Hispanic or Latino"	"2135-2"	7963
	"Surry County, NC"	"37171"	"Not Hispanic or Latino"	"2186-5"	63820
"Total"	"Surry County, NC"	"37171"			71783
	"Swain County, NC"	"37173"	"Hispanic or Latino"	"2135-2"	822
	"Swain County, NC"	"37173"	"Not Hispanic or Latino"	"2186-5"	13449
"Total"	"Swain County, NC"	"37173"			14271
	"Transylvania County, NC"	"37175"	"Hispanic or Latino"	"2135-2"	1168
	"Transylvania County, NC"	"37175"	"Not Hispanic or Latino"	"2186-5"	33217
"Total"	"Transylvania County, NC"	"37175"			34385
	"Tyrrell County, NC"	"37177"	"Hispanic or Latino"	"2135-2"	376
	"Tyrrell County, NC"	"37177"	"Not Hispanic or Latino"	"2186-5"	3640
"Total"	"Tyrrell County, NC"	"37177"			4016
	"Union County, NC"	"37179"	"Hispanic or Latino"	"2135-2"	27515
	"Union County, NC"	"37179"	"Not Hispanic or Latino"	"2186-5"	212344
"Total"	"Union County, NC"	"37179"			239859
	"Vance County, NC"	"37181"	"Hispanic or Latino"	"2135-2"	3675
	"Vance County, NC"	"37181"	"Not Hispanic or Latino"	"2186-5"	40860
"Total"	"Vance County, NC"	"37181"			44535
	"Wake County, NC"	"37183"	"Hispanic or Latino"	"2135-2"	115531
	"Wake County, NC"	"37183"	"Not Hispanic or Latino"	"2186-5"	996230
"Total"	"Wake County, NC"	"37183"			1111761
	"Warren County, NC"	"37185"	"Hispanic or Latino"	"2135-2"	773
	"Warren County, NC"	"37185"	"Not Hispanic or Latino"	"2186-5"	18958
"Total"	"Warren County, NC"	"37185"			19731
	"Washington County, NC"	"37187"	"Hispanic or Latino"	"2135-2"	653
	"Washington County, NC"	"37187"	"Not Hispanic or Latino"	"2186-5"	10927
"Total"	"Washington County, NC"	"37187"			11580
	"Watauga County, NC"	"37189"	"Hispanic or Latino"	"2135-2"	2261
	"Watauga County, NC"	"37189"	"Not Hispanic or Latino"	"2186-5"	53916
"Total"	"Watauga County, NC"	"37189"			56177
	"Wayne County, NC"	"37191"	"Hispanic or Latino"	"2135-2"	15327
	"Wayne County, NC"	"37191"	"Not Hispanic or Latino"	"2186-5"	107804
"Total"	"Wayne County, NC"	"37191"			123131
	"Wilkes County, NC"	"37193"	"Hispanic or Latino"	"2135-2"	4728
	"Wilkes County, NC"	"37193"	"Not Hispanic or Latino"	"2186-5"	63684
"Total"	"Wilkes County, NC"	"37193"			68412
	"Wilson County, NC"	"37195"	"Hispanic or Latino"	"2135-2"	8819
	"Wilson County, NC"	"37195"	"Not Hispanic or Latino"	"2186-5"	72982
"Total"	"Wilson County, NC"	"37195"			81801
	"Yadkin County, NC"	"37197"	"Hispanic or Latino"	"2135-2"	4338
	"Yadkin County, NC"	"37197"	"Not Hispanic or Latino"	"2186-5"	33329
"Total"	"Yadkin County, NC"	"37197"			37667
	"Yancey County, NC"	"37199"	"Hispanic or Latino"	"2135-2"	998
	"Yancey County, NC"	"37199"	"Not Hispanic or Latino"	"2186-5"	17071
"Total"	"Yancey County, NC"	"37199"			18069
	"Adams County, ND"	"38001"	"Hispanic or Latino"	"2135-2"	35
	"Adams County, ND"	"38001"	"Not Hispanic or Latino"	"2186-5"	2181
"Total"	"Adams County, ND"	"38001"			2216
	"Barnes County, ND"	"38003"	"Hispanic or Latino"	"2135-2"	230
	"Barnes County, ND"	"38003"	"Not Hispanic or Latino"	"2186-5"	10185
"Total"	"Barnes County, ND"	"38003"			10415
	"Benson County, ND"	"38005"	"Hispanic or Latino"	"2135-2"	278
	"Benson County, ND"	"38005"	"Not Hispanic or Latino"	"2186-5"	6554
"Total"	"Benson County, ND"	"38005"			6832
	"Billings County, ND"	"38007"	"Hispanic or Latino"	"2135-2"	24
	"Billings County, ND"	"38007"	"Not Hispanic or Latino"	"2186-5"	904
"Total"	"Billings County, ND"	"38007"			928
	"Bottineau County, ND"	"38009"	"Hispanic or Latino"	"2135-2"	141
	"Bottineau County, ND"	"38009"	"Not Hispanic or Latino"	"2186-5"	6141
"Total"	"Bottineau County, ND"	"38009"			6282
	"Bowman County, ND"	"38011"	"Hispanic or Latino"	"2135-2"	165
	"Bowman County, ND"	"38011"	"Not Hispanic or Latino"	"2186-5"	2859
"Total"	"Bowman County, ND"	"38011"			3024
	"Burke County, ND"	"38013"	"Hispanic or Latino"	"2135-2"	63
	"Burke County, ND"	"38013"	"Not Hispanic or Latino"	"2186-5"	2052
"Total"	"Burke County, ND"	"38013"			2115
	"Burleigh County, ND"	"38015"	"Hispanic or Latino"	"2135-2"	2634
	"Burleigh County, ND"	"38015"	"Not Hispanic or Latino"	"2186-5"	92992
"Total"	"Burleigh County, ND"	"38015"			95626
	"Cass County, ND"	"38017"	"Hispanic or Latino"	"2135-2"	5135
	"Cass County, ND"	"38017"	"Not Hispanic or Latino"	"2186-5"	176788
"Total"	"Cass County, ND"	"38017"			181923
	"Cavalier County, ND"	"38019"	"Hispanic or Latino"	"2135-2"	54
	"Cavalier County, ND"	"38019"	"Not Hispanic or Latino"	"2186-5"	3708
"Total"	"Cavalier County, ND"	"38019"			3762
	"Dickey County, ND"	"38021"	"Hispanic or Latino"	"2135-2"	168
	"Dickey County, ND"	"38021"	"Not Hispanic or Latino"	"2186-5"	4704
"Total"	"Dickey County, ND"	"38021"			4872
	"Divide County, ND"	"38023"	"Hispanic or Latino"	"2135-2"	65
	"Divide County, ND"	"38023"	"Not Hispanic or Latino"	"2186-5"	2199
"Total"	"Divide County, ND"	"38023"			2264
	"Dunn County, ND"	"38025"	"Hispanic or Latino"	"2135-2"	249
	"Dunn County, ND"	"38025"	"Not Hispanic or Latino"	"2186-5"	4175
"Total"	"Dunn County, ND"	"38025"			4424
	"Eddy County, ND"	"38027"	"Hispanic or Latino"	"2135-2"	99
	"Eddy County, ND"	"38027"	"Not Hispanic or Latino"	"2186-5"	2188
"Total"	"Eddy County, ND"	"38027"			2287
	"Emmons County, ND"	"38029"	"Hispanic or Latino"	"2135-2"	37
	"Emmons County, ND"	"38029"	"Not Hispanic or Latino"	"2186-5"	3204
"Total"	"Emmons County, ND"	"38029"			3241
	"Foster County, ND"	"38031"	"Hispanic or Latino"	"2135-2"	74
	"Foster County, ND"	"38031"	"Not Hispanic or Latino"	"2186-5"	3136
"Total"	"Foster County, ND"	"38031"			3210
	"Golden Valley County, ND"	"38033"	"Hispanic or Latino"	"2135-2"	59
	"Golden Valley County, ND"	"38033"	"Not Hispanic or Latino"	"2186-5"	1702
"Total"	"Golden Valley County, ND"	"38033"			1761
	"Grand Forks County, ND"	"38035"	"Hispanic or Latino"	"2135-2"	3248
	"Grand Forks County, ND"	"38035"	"Not Hispanic or Latino"	"2186-5"	66203
"Total"	"Grand Forks County, ND"	"38035"			69451
	"Grant County, ND"	"38037"	"Hispanic or Latino"	"2135-2"	33
	"Grant County, ND"	"38037"	"Not Hispanic or Latino"	"2186-5"	2241
"Total"	"Grant County, ND"	"38037"			2274
	"Griggs County, ND"	"38039"	"Hispanic or Latino"	"2135-2"	29
	"Griggs County, ND"	"38039"	"Not Hispanic or Latino"	"2186-5"	2202
"Total"	"Griggs County, ND"	"38039"			2231
	"Hettinger County, ND"	"38041"	"Hispanic or Latino"	"2135-2"	69
	"Hettinger County, ND"	"38041"	"Not Hispanic or Latino"	"2186-5"	2430
"Total"	"Hettinger County, ND"	"38041"			2499
	"Kidder County, ND"	"38043"	"Hispanic or Latino"	"2135-2"	117
	"Kidder County, ND"	"38043"	"Not Hispanic or Latino"	"2186-5"	2363
"Total"	"Kidder County, ND"	"38043"			2480
	"LaMoure County, ND"	"38045"	"Hispanic or Latino"	"2135-2"	69
	"LaMoure County, ND"	"38045"	"Not Hispanic or Latino"	"2186-5"	3977
"Total"	"LaMoure County, ND"	"38045"			4046
	"Logan County, ND"	"38047"	"Hispanic or Latino"	"2135-2"	48
	"Logan County, ND"	"38047"	"Not Hispanic or Latino"	"2186-5"	1802
"Total"	"Logan County, ND"	"38047"			1850
	"McHenry County, ND"	"38049"	"Hispanic or Latino"	"2135-2"	114
	"McHenry County, ND"	"38049"	"Not Hispanic or Latino"	"2186-5"	5631
"Total"	"McHenry County, ND"	"38049"			5745
	"McIntosh County, ND"	"38051"	"Hispanic or Latino"	"2135-2"	65
	"McIntosh County, ND"	"38051"	"Not Hispanic or Latino"	"2186-5"	2432
"Total"	"McIntosh County, ND"	"38051"			2497
	"McKenzie County, ND"	"38053"	"Hispanic or Latino"	"2135-2"	1458
	"McKenzie County, ND"	"38053"	"Not Hispanic or Latino"	"2186-5"	13566
"Total"	"McKenzie County, ND"	"38053"			15024
	"McLean County, ND"	"38055"	"Hispanic or Latino"	"2135-2"	243
	"McLean County, ND"	"38055"	"Not Hispanic or Latino"	"2186-5"	9207
"Total"	"McLean County, ND"	"38055"			9450
	"Mercer County, ND"	"38057"	"Hispanic or Latino"	"2135-2"	247
	"Mercer County, ND"	"38057"	"Not Hispanic or Latino"	"2186-5"	7940
"Total"	"Mercer County, ND"	"38057"			8187
	"Morton County, ND"	"38059"	"Hispanic or Latino"	"2135-2"	1292
	"Morton County, ND"	"38059"	"Not Hispanic or Latino"	"2186-5"	30072
"Total"	"Morton County, ND"	"38059"			31364
	"Mountrail County, ND"	"38061"	"Hispanic or Latino"	"2135-2"	943
	"Mountrail County, ND"	"38061"	"Not Hispanic or Latino"	"2186-5"	9602
"Total"	"Mountrail County, ND"	"38061"			10545
	"Nelson County, ND"	"38063"	"Hispanic or Latino"	"2135-2"	133
	"Nelson County, ND"	"38063"	"Not Hispanic or Latino"	"2186-5"	2746
"Total"	"Nelson County, ND"	"38063"			2879
	"Oliver County, ND"	"38065"	"Hispanic or Latino"	"2135-2"	40
	"Oliver County, ND"	"38065"	"Not Hispanic or Latino"	"2186-5"	1919
"Total"	"Oliver County, ND"	"38065"			1959
	"Pembina County, ND"	"38067"	"Hispanic or Latino"	"2135-2"	232
	"Pembina County, ND"	"38067"	"Not Hispanic or Latino"	"2186-5"	6569
"Total"	"Pembina County, ND"	"38067"			6801
	"Pierce County, ND"	"38069"	"Hispanic or Latino"	"2135-2"	80
	"Pierce County, ND"	"38069"	"Not Hispanic or Latino"	"2186-5"	3895
"Total"	"Pierce County, ND"	"38069"			3975
	"Ramsey County, ND"	"38071"	"Hispanic or Latino"	"2135-2"	370
	"Ramsey County, ND"	"38071"	"Not Hispanic or Latino"	"2186-5"	11149
"Total"	"Ramsey County, ND"	"38071"			11519
	"Ransom County, ND"	"38073"	"Hispanic or Latino"	"2135-2"	131
	"Ransom County, ND"	"38073"	"Not Hispanic or Latino"	"2186-5"	5087
"Total"	"Ransom County, ND"	"38073"			5218
	"Renville County, ND"	"38075"	"Hispanic or Latino"	"2135-2"	64
	"Renville County, ND"	"38075"	"Not Hispanic or Latino"	"2186-5"	2263
"Total"	"Renville County, ND"	"38075"			2327
	"Richland County, ND"	"38077"	"Hispanic or Latino"	"2135-2"	577
	"Richland County, ND"	"38077"	"Not Hispanic or Latino"	"2186-5"	15600
"Total"	"Richland County, ND"	"38077"			16177
	"Rolette County, ND"	"38079"	"Hispanic or Latino"	"2135-2"	293
	"Rolette County, ND"	"38079"	"Not Hispanic or Latino"	"2186-5"	13883
"Total"	"Rolette County, ND"	"38079"			14176
	"Sargent County, ND"	"38081"	"Hispanic or Latino"	"2135-2"	131
	"Sargent County, ND"	"38081"	"Not Hispanic or Latino"	"2186-5"	3767
"Total"	"Sargent County, ND"	"38081"			3898
	"Sheridan County, ND"	"38083"	"Hispanic or Latino"	"2135-2"	18
	"Sheridan County, ND"	"38083"	"Not Hispanic or Latino"	"2186-5"	1297
"Total"	"Sheridan County, ND"	"38083"			1315
	"Sioux County, ND"	"38085"	"Hispanic or Latino"	"2135-2"	216
	"Sioux County, ND"	"38085"	"Not Hispanic or Latino"	"2186-5"	4014
"Total"	"Sioux County, ND"	"38085"			4230
	"Slope County, ND"	"38087"	"Hispanic or Latino"	"2135-2"	31
	"Slope County, ND"	"38087"	"Not Hispanic or Latino"	"2186-5"	719
"Total"	"Slope County, ND"	"38087"			750
	"Stark County, ND"	"38089"	"Hispanic or Latino"	"2135-2"	1791
	"Stark County, ND"	"38089"	"Not Hispanic or Latino"	"2186-5"	29698
"Total"	"Stark County, ND"	"38089"			31489
	"Steele County, ND"	"38091"	"Hispanic or Latino"	"2135-2"	42
	"Steele County, ND"	"38091"	"Not Hispanic or Latino"	"2186-5"	1848
"Total"	"Steele County, ND"	"38091"			1890
	"Stutsman County, ND"	"38093"	"Hispanic or Latino"	"2135-2"	541
	"Stutsman County, ND"	"38093"	"Not Hispanic or Latino"	"2186-5"	20163
"Total"	"Stutsman County, ND"	"38093"			20704
	"Towner County, ND"	"38095"	"Hispanic or Latino"	"2135-2"	59
	"Towner County, ND"	"38095"	"Not Hispanic or Latino"	"2186-5"	2130
"Total"	"Towner County, ND"	"38095"			2189
	"Traill County, ND"	"38097"	"Hispanic or Latino"	"2135-2"	298
	"Traill County, ND"	"38097"	"Not Hispanic or Latino"	"2186-5"	7738
"Total"	"Traill County, ND"	"38097"			8036
	"Walsh County, ND"	"38099"	"Hispanic or Latino"	"2135-2"	1272
	"Walsh County, ND"	"38099"	"Not Hispanic or Latino"	"2186-5"	9369
"Total"	"Walsh County, ND"	"38099"			10641
	"Ward County, ND"	"38101"	"Hispanic or Latino"	"2135-2"	4299
	"Ward County, ND"	"38101"	"Not Hispanic or Latino"	"2186-5"	63342
"Total"	"Ward County, ND"	"38101"			67641
	"Wells County, ND"	"38103"	"Hispanic or Latino"	"2135-2"	45
	"Wells County, ND"	"38103"	"Not Hispanic or Latino"	"2186-5"	3789
"Total"	"Wells County, ND"	"38103"			3834
	"Williams County, ND"	"38105"	"Hispanic or Latino"	"2135-2"	3384
	"Williams County, ND"	"38105"	"Not Hispanic or Latino"	"2186-5"	34205
"Total"	"Williams County, ND"	"38105"			37589
	"Adams County, OH"	"39001"	"Hispanic or Latino"	"2135-2"	288
	"Adams County, OH"	"39001"	"Not Hispanic or Latino"	"2186-5"	27410
"Total"	"Adams County, OH"	"39001"			27698
	"Allen County, OH"	"39003"	"Hispanic or Latino"	"2135-2"	3420
	"Allen County, OH"	"39003"	"Not Hispanic or Latino"	"2186-5"	98931
"Total"	"Allen County, OH"	"39003"			102351
	"Ashland County, OH"	"39005"	"Hispanic or Latino"	"2135-2"	806
	"Ashland County, OH"	"39005"	"Not Hispanic or Latino"	"2186-5"	52678
"Total"	"Ashland County, OH"	"39005"			53484
	"Ashtabula County, OH"	"39007"	"Hispanic or Latino"	"2135-2"	4318
	"Ashtabula County, OH"	"39007"	"Not Hispanic or Latino"	"2186-5"	92923
